id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kematian,jenis_kelamin,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,LAKI-LAKI,0,JIWA,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,PEREMPUAN,1,JIWA,2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,LAKI-LAKI,59,JIWA,2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,PEREMPUAN,50,JIWA,2018
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEONATAL,LAKI-LAKI,51,JIWA,2018
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEONATAL,PEREMPUAN,43,JIWA,2018
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,LAKI-LAKI,0,JIWA,2018
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,PEREMPUAN,0,JIWA,2018
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,LAKI-LAKI,0,JIWA,2018
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,PEREMPUAN,0,JIWA,2018
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEONATAL,LAKI-LAKI,0,JIWA,2018
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEONATAL,PEREMPUAN,0,JIWA,2018
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ANAK BALITA,LAKI-LAKI,3,JIWA,2018
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ANAK BALITA,PEREMPUAN,0,JIWA,2018
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYI,LAKI-LAKI,37,JIWA,2018
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYI,PEREMPUAN,42,JIWA,2018
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEONATAL,LAKI-LAKI,32,JIWA,2018
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEONATAL,PEREMPUAN,38,JIWA,2018
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,LAKI-LAKI,1,JIWA,2018
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,PEREMPUAN,3,JIWA,2018
21,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,LAKI-LAKI,112,JIWA,2018
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,PEREMPUAN,92,JIWA,2018
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEONATAL,LAKI-LAKI,102,JIWA,2018
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEONATAL,PEREMPUAN,87,JIWA,2018
25,32,JAWA BARAT,3205,KABUPATEN GARUT,ANAK BALITA,LAKI-LAKI,1,JIWA,2018
26,32,JAWA BARAT,3205,KABUPATEN GARUT,ANAK BALITA,PEREMPUAN,1,JIWA,2018
27,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYI,LAKI-LAKI,137,JIWA,2018
28,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYI,PEREMPUAN,134,JIWA,2018
29,32,JAWA BARAT,3205,KABUPATEN GARUT,NEONATAL,LAKI-LAKI,129,JIWA,2018
30,32,JAWA BARAT,3205,KABUPATEN GARUT,NEONATAL,PEREMPUAN,126,JIWA,2018
31,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,LAKI-LAKI,6,JIWA,2018
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,PEREMPUAN,10,JIWA,2018
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,LAKI-LAKI,158,JIWA,2018
34,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,PEREMPUAN,102,JIWA,2018
35,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEONATAL,LAKI-LAKI,138,JIWA,2018
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEONATAL,PEREMPUAN,66,JIWA,2018
37,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,LAKI-LAKI,6,JIWA,2018
38,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,PEREMPUAN,7,JIWA,2018
39,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,LAKI-LAKI,61,JIWA,2018
40,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,PEREMPUAN,48,JIWA,2018
41,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEONATAL,LAKI-LAKI,50,JIWA,2018
42,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEONATAL,PEREMPUAN,31,JIWA,2018
43,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,LAKI-LAKI,1,JIWA,2018
44,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,PEREMPUAN,2,JIWA,2018
45,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,LAKI-LAKI,41,JIWA,2018
46,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,PEREMPUAN,37,JIWA,2018
47,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEONATAL,LAKI-LAKI,37,JIWA,2018
48,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEONATAL,PEREMPUAN,30,JIWA,2018
49,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,LAKI-LAKI,4,JIWA,2018
50,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,PEREMPUAN,6,JIWA,2018
51,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,LAKI-LAKI,78,JIWA,2018
52,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,PEREMPUAN,64,JIWA,2018
53,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEONATAL,LAKI-LAKI,74,JIWA,2018
54,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEONATAL,PEREMPUAN,60,JIWA,2018
55,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,LAKI-LAKI,3,JIWA,2018
56,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,PEREMPUAN,1,JIWA,2018
57,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,LAKI-LAKI,40,JIWA,2018
58,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,PEREMPUAN,43,JIWA,2018
59,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEONATAL,LAKI-LAKI,34,JIWA,2018
60,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEONATAL,PEREMPUAN,34,JIWA,2018
61,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,LAKI-LAKI,10,JIWA,2018
62,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,PEREMPUAN,7,JIWA,2018
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,LAKI-LAKI,97,JIWA,2018
64,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,PEREMPUAN,73,JIWA,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEONATAL,LAKI-LAKI,68,JIWA,2018
66,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEONATAL,PEREMPUAN,45,JIWA,2018
67,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,LAKI-LAKI,6,JIWA,2018
68,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,PEREMPUAN,7,JIWA,2018
69,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,LAKI-LAKI,167,JIWA,2018
70,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,PEREMPUAN,75,JIWA,2018
71,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEONATAL,LAKI-LAKI,150,JIWA,2018
72,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEONATAL,PEREMPUAN,69,JIWA,2018
73,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,LAKI-LAKI,1,JIWA,2018
74,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,PEREMPUAN,1,JIWA,2018
75,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,LAKI-LAKI,56,JIWA,2018
76,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,PEREMPUAN,58,JIWA,2018
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEONATAL,LAKI-LAKI,51,JIWA,2018
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEONATAL,PEREMPUAN,53,JIWA,2018
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,LAKI-LAKI,2,JIWA,2018
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,PEREMPUAN,1,JIWA,2018
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,LAKI-LAKI,40,JIWA,2018
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,PEREMPUAN,17,JIWA,2018
83,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEONATAL,LAKI-LAKI,34,JIWA,2018
84,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEONATAL,PEREMPUAN,13,JIWA,2018
85,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ANAK BALITA,LAKI-LAKI,1,JIWA,2018
86,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ANAK BALITA,PEREMPUAN,8,JIWA,2018
87,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAYI,LAKI-LAKI,95,JIWA,2018
88,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAYI,PEREMPUAN,67,JIWA,2018
89,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEONATAL,LAKI-LAKI,83,JIWA,2018
90,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEONATAL,PEREMPUAN,57,JIWA,2018
91,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,LAKI-LAKI,0,JIWA,2018
92,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,PEREMPUAN,2,JIWA,2018
93,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,LAKI-LAKI,28,JIWA,2018
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,PEREMPUAN,13,JIWA,2018
95,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEONATAL,LAKI-LAKI,28,JIWA,2018
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEONATAL,PEREMPUAN,13,JIWA,2018
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ANAK BALITA,LAKI-LAKI,3,JIWA,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ANAK BALITA,PEREMPUAN,1,JIWA,2018
99,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAYI,LAKI-LAKI,94,JIWA,2018
100,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAYI,PEREMPUAN,50,JIWA,2018
101,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEONATAL,LAKI-LAKI,89,JIWA,2018
102,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEONATAL,PEREMPUAN,48,JIWA,2018
103,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ANAK BALITA,LAKI-LAKI,6,JIWA,2018
104,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ANAK BALITA,PEREMPUAN,1,JIWA,2018
105,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAYI,LAKI-LAKI,15,JIWA,2018
106,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAYI,PEREMPUAN,18,JIWA,2018
107,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEONATAL,LAKI-LAKI,15,JIWA,2018
108,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEONATAL,PEREMPUAN,11,JIWA,2018
109,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,LAKI-LAKI,4,JIWA,2018
110,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,PEREMPUAN,4,JIWA,2018
111,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,LAKI-LAKI,30,JIWA,2018
112,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,PEREMPUAN,29,JIWA,2018
113,32,JAWA BARAT,3271,KOTA BOGOR,NEONATAL,LAKI-LAKI,24,JIWA,2018
114,32,JAWA BARAT,3271,KOTA BOGOR,NEONATAL,PEREMPUAN,24,JIWA,2018
115,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,LAKI-LAKI,2,JIWA,2018
116,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,PEREMPUAN,2,JIWA,2018
117,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,LAKI-LAKI,17,JIWA,2018
118,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,PEREMPUAN,18,JIWA,2018
119,32,JAWA BARAT,3272,KOTA SUKABUMI,NEONATAL,LAKI-LAKI,14,JIWA,2018
120,32,JAWA BARAT,3272,KOTA SUKABUMI,NEONATAL,PEREMPUAN,13,JIWA,2018
121,32,JAWA BARAT,3273,KOTA BANDUNG,ANAK BALITA,LAKI-LAKI,0,JIWA,2018
122,32,JAWA BARAT,3273,KOTA BANDUNG,ANAK BALITA,PEREMPUAN,0,JIWA,2018
123,32,JAWA BARAT,3273,KOTA BANDUNG,BAYI,LAKI-LAKI,69,JIWA,2018
124,32,JAWA BARAT,3273,KOTA BANDUNG,BAYI,PEREMPUAN,44,JIWA,2018
125,32,JAWA BARAT,3273,KOTA BANDUNG,NEONATAL,LAKI-LAKI,50,JIWA,2018
126,32,JAWA BARAT,3273,KOTA BANDUNG,NEONATAL,PEREMPUAN,28,JIWA,2018
127,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,LAKI-LAKI,2,JIWA,2018
128,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,PEREMPUAN,0,JIWA,2018
129,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,LAKI-LAKI,12,JIWA,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,PEREMPUAN,11,JIWA,2018
131,32,JAWA BARAT,3274,KOTA CIREBON,NEONATAL,LAKI-LAKI,11,JIWA,2018
132,32,JAWA BARAT,3274,KOTA CIREBON,NEONATAL,PEREMPUAN,6,JIWA,2018
133,32,JAWA BARAT,3275,KOTA BEKASI,ANAK BALITA,LAKI-LAKI,1,JIWA,2018
134,32,JAWA BARAT,3275,KOTA BEKASI,ANAK BALITA,PEREMPUAN,0,JIWA,2018
135,32,JAWA BARAT,3275,KOTA BEKASI,BAYI,LAKI-LAKI,22,JIWA,2018
136,32,JAWA BARAT,3275,KOTA BEKASI,BAYI,PEREMPUAN,31,JIWA,2018
137,32,JAWA BARAT,3275,KOTA BEKASI,NEONATAL,LAKI-LAKI,20,JIWA,2018
138,32,JAWA BARAT,3275,KOTA BEKASI,NEONATAL,PEREMPUAN,28,JIWA,2018
139,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,LAKI-LAKI,4,JIWA,2018
140,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,LAKI-LAKI,53,JIWA,2018
141,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,PEREMPUAN,14,JIWA,2018
142,32,JAWA BARAT,3276,KOTA DEPOK,NEONATAL,LAKI-LAKI,41,JIWA,2018
143,32,JAWA BARAT,3276,KOTA DEPOK,NEONATAL,PEREMPUAN,9,JIWA,2018
144,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,LAKI-LAKI,0,JIWA,2018
145,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,PEREMPUAN,2,JIWA,2018
146,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,LAKI-LAKI,25,JIWA,2018
147,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,PEREMPUAN,25,JIWA,2018
148,32,JAWA BARAT,3277,KOTA CIMAHI,NEONATAL,LAKI-LAKI,17,JIWA,2018
