nama_kabupaten_kota,jenis_kematian_anak_balita,jenis_kematian_bayi,jenis_kematian_neonatal,total_kematian
KABUPATEN BOGOR,7,213,185,405
KABUPATEN SUKABUMI,0,0,0,0
KABUPATEN CIANJUR,3,79,70,152
KABUPATEN BANDUNG,15,421,379,815
KABUPATEN GARUT,2,271,255,528
KABUPATEN TASIKMALAYA,33,442,343,818
KABUPATEN CIAMIS,29,207,156,392
KABUPATEN KUNINGAN,5,147,117,269
KABUPATEN CIREBON,15,269,243,527
KABUPATEN MAJALENGKA,4,83,68,155
KABUPATEN SUMEDANG,27,304,202,533
KABUPATEN INDRAMAYU,21,488,447,956
KABUPATEN SUBANG,5,225,210,440
KABUPATEN PURWAKARTA,17,134,101,252
KABUPATEN KARAWANG,9,319,274,602
KABUPATEN BEKASI,2,76,76,154
KABUPATEN BANDUNG BARAT,4,144,137,285
KABUPATEN PANGANDARAN,8,66,47,121
KOTA BOGOR,12,93,92,197
KOTA SUKABUMI,4,35,27,66
KOTA BANDUNG,27,227,163,417
KOTA CIREBON,6,37,29,72
KOTA BEKASI,4,111,97,212
KOTA DEPOK,8,148,120,276
KOTA CIMAHI,4,114,84,202
KOTA TASIKMALAYA,22,142,104,268
KOTA BANJAR,14,25,17,56